label,Protocol Type,Duration,Rate,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Radius
DDoS-ICMP_Flood,1,64,1.210802497,441,42,42,42,0,42,83128823.94,0
BenignTraffic,10.4,97.8,39966.18404,10171.8,55.6,1566.4,661.318481,694.9070699,636.4,166520014,983.9683346
DDoS-ACK_Fragmentation,6.16,65.91,66.66932317,9716.92,330.13,1479.8,927.1756029,538.4419292,923.92,83335506.16,761.3484898
DDoS-ICMP_Flood,1.15,65.27,70.0589919,467.96,42,66.62,44.09577227,6.486488618,44.06,83153707.44,9.187336681
DDoS-UDP_Flood,17,64,3601.595667,525,50,50,50,0,50,83106187.95,0
DoS-TCP_Flood,5.88,62.72,9.872114311,567.3,54,54.18,54.01564912,0.05015721772,54.12,82925790.68,0.07151784053
DDoS-TCP_Flood,6,64,71.87812109,567,54,54,54,0,54,83067439.88,0
DDoS-RSTFINFlood,6,64,926.7132125,567,54,54,54,0,54,83348625.29,0
DoS-UDP_Flood,17,64,25.33633755,1701,162,162,162,0,162,83008107.35,0
DDoS-ICMP_Flood,1,64,2.982356381,441,42,42,42,0,42,83124530.92,0
DDoS-PSHACK_Flood,6,64,7.398340168,567,54,54,54,0,54,83313727.33,0
DDoS-PSHACK_Flood,6,64,3.585884318,567,54,54,54,0,54,83313810.6,0
DDoS-RSTFINFlood,6,64,34.46706473,567,54,54,54,0,54,83349144.65,0
DoS-UDP_Flood,17,64,5429.283758,536.76,50,61.76,50.63801135,2.662456258,52.94,83016348.4,3.787533944
DDoS-SynonymousIP_Flood,6,65.69,295.1137379,583.72,54,70.72,55.16853253,4.233164386,55.52,83362223.94,5.998103023
Mirai-udpplain,16.83,64,967.3635591,5644.2,381.2,554,533.8616993,52.3870799,544.4,83759012.78,74.15917911
DDoS-ICMP_Flood,1,64,5.574181476,441,42,42,42,0,42,83127777.76,0
BenignTraffic,8.8,137.7,13.94793517,6720.3,156,3922.9,1177.51123,1302.11719,919.3,0.02724580765,1841.471789
DDoS-ICMP_Flood,1,64,163.4791963,441,42,42,42,0,42,83123999.45,0
DDoS-TCP_Flood,6,64,6.269770432,567,54,54,54,0,54,83068281.05,0
DDoS-SynonymousIP_Flood,5.94,65.1,13.83471333,569.46,54,56.46,54.16051837,0.6029119967,54.3,83361295.93,0.8549169547
DDoS-TCP_Flood,6,64,11.09692304,567,54,54,54,0,54,83076118.73,0
DDoS-SynonymousIP_Flood,5.94,63.36,1.0551355,568.08,54,55.08,54.12586438,0.3274192494,54.06,83361307.94,0.4634948694
Mirai-udpplain,16.84,72.79,799.0091037,5478.28,455.04,554,526.3501558,39.36200182,526.65,83759393.01,55.74965696
DDoS-TCP_Flood,6,64,31.70947603,567,54,54,54,0,54,83075976.37,0
BenignTraffic,4.8,168.3,34.2231302,361.2,64.8,66,65.81333333,0.4285618083,64.8,0.03804950714,0.6060779216
DDoS-TCP_Flood,6,64,0.5689048873,567,54,54,54,0,54,83072370.76,0
DoS-TCP_Flood,6,64,47.44874102,568.56,54,55.56,54.1205859,0.4115958197,54.12,82955885.32,0.5829926433
DDoS-PSHACK_Flood,6,64,17.19322323,567,54,54,54,0,54,83331863.7,0
DDoS-SYN_Flood,6,64,2.468322741,567,54,54,54,0,54,83093975.98,0
DDoS-SynonymousIP_Flood,6,64,0.6852958813,567,54,54,54,0,54,83362147.65,0
DDoS-PSHACK_Flood,6.11,63.37,0.52333677,580.12,54,67.12,54.81102753,3.150622669,55.64,83314550.54,4.468066097
DDoS-RSTFINFlood,6,64,2.801612269,567,54,54,54,0,54,83348614.38,0
BenignTraffic,7.1,63.6,61.44383087,7898.4,1227.3,1514,1469.563333,101.9385343,1227.3,0.00183339119,144.1628577
Mirai-greeth_flood,46.59,65.91,0,6135.9,511.9,592,584.9810702,22.17472522,586.66,83702743.73,31.4002144
DDoS-ICMP_Flood,1.37,67.82,0.3876736446,460.31,42,51.1,43.52220784,3.227652187,43.46,83128694.13,4.570727168
DDoS-RSTFINFlood,6,64,26.20684213,567,54,54,54,0,54,83345129.06,0
DDoS-SYN_Flood,6,64,13.73690847,567,54,54,54,0,54,83093109.75,0
DDoS-SynonymousIP_Flood,6,64,2.681958527,567,54,54,54,0,54,83365671.2,0
DoS-UDP_Flood,17,64,31003.08886,525,50,50,50,0,50,83028632.28,0
Mirai-greeth_flood,45.76,62.56,18.57306688,6001.7,510.7,592,574.6800789,32.74300291,575.94,83693904.42,46.36291967
DDoS-TCP_Flood,6,64,3.91546513,567,54,54,54,0,54,83076368.76,0
DoS-TCP_Flood,6.11,65.91,0.2494348059,570.24,54,57.24,54.20803043,0.7910988418,54.36,82943163.71,1.12150747
DDoS-RSTFINFlood,6,64,7.509285667,567,54,54,54,0,54,83344068.61,0
DDoS-ICMP_Flood,1,64,24.49298695,441,42,42,42,0,42,83123992.2,0
DDoS-RSTFINFlood,6.11,64,2.939548097,598.85,54,85.85,56.46196216,8.403414653,56.45,83344543.29,11.90276647
DDoS-ICMP_Flood,1,64,0,441,42,42,42,0,42,83150192.51,0
DDoS-RSTFINFlood,6,64,1.11610534,567,54,54,54,0,54,83343897.66,0
DDoS-PSHACK_Flood,6,64,69.05113431,567,54,54,54,0,54,83314096.66,0
DoS-SYN_Flood,6.11,63.36,28.25560741,1047.44,68.56,361.68,117.3570001,102.1337337,110.2,82981077.54,140.10091
DDoS-TCP_Flood,5.91,64,10075.12182,1878.4,152.4,312.64,171.3809137,43.98208951,183.11,83064030.92,62.323538
Mirai-greip_flood,46.23,65.27,0.6399433499,6049.9,562.38,578,576.9858029,3.719548795,569.34,83573778.49,4.483203444
DDoS-UDP_Flood,17,64.64,5642.30046,527.52,50,52.52,50.15033812,0.5956711303,50.36,83098919.31,0.8451309496
DDoS-ICMP_Flood,1,64,14.18712867,441,42,42,42,0,42,83127725.77,0
DDoS-SynonymousIP_Flood,6,64,1.27985686,567,54,54,54,0,54,83361411.06,0
DDoS-UDP_Flood,17,64,8824.709362,525,50,50,50,0,50,83106334.06,0
DDoS-PSHACK_Flood,6,64,4.377121025,567,54,54,54,0,54,83332153.98,0
DDoS-TCP_Flood,6,64,0.3300888881,567,54,54,54,0,54,83072380.82,0
DDoS-ICMP_Flood,1,64,43.54348063,441,42,42,42,0,42,83124653.15,0
DDoS-RSTFINFlood,6,64,6.548402206,567,54,54,54,0,54,83344941.74,0
DDoS-ICMP_Flood,1,65.91,2.143795086,441,42,42,42,0,42,83128820.26,0
DDoS-SYN_Flood,6.22,67.38,28.40928437,726.21,54,185.01,64.73250756,34.27249005,71.55,83089857.94,48.56150094
DoS-UDP_Flood,17,64,3.761277311,1701,162,162,162,0,162,83007917.42,0
DoS-UDP_Flood,16.89,63.85,13.46088821,1685.16,146.16,162,160.1539891,4.802148991,161.12,83008135.56,6.797924752
DDoS-TCP_Flood,6,64,470.7147747,567,54,54,54,0,54,83037265.76,0
DDoS-PSHACK_Flood,6,64,62.20966579,567,54,54,54,0,54,83314873.9,0
DDoS-UDP_Flood,17,64,4922.91436,525,50,50,50,0,50,83102469.18,0
DDoS-UDP_Flood,17,64,22963.83322,525,50,50,50,0,50,83106624.72,0
DDoS-SYN_Flood,6,64,57.58045097,567,54,54,54,0,54,83495272.53,0
DDoS-ICMP_Flood,1,64,29.86745662,441,42,42,42,0,42,83153712.38,0
DDoS-ICMP_Flood,1,64,7.58167515,441,42,42,42,0,42,83124634.36,0
DDoS-RSTFINFlood,6,65.91,2.787440491,567.36,54,54.36,54.02311449,0.08789987131,54.04,83348607.39,0.1246119411
DDoS-SynonymousIP_Flood,6,64,1.354321647,567,54,54,54,0,54,83361400.73,0
DoS-SYN_Flood,6,65.91,3.458200386,588.66,54.76,64.46,55.82857326,2.564558952,55.97,82972415.73,3.619742294
DDoS-UDP_Flood,16.89,63.79,8624.464143,542.92,50,67.92,51.46910676,4.838262106,51.28,83098903.8,6.852023919
DoS-UDP_Flood,16.84,65.91,33810.63356,528.6,50,53.6,50.41954793,1.091397498,50.2,83011449.44,1.544982898
DDoS-TCP_Flood,6,64,5.021592239,567,54,54,54,0,54,83076028.5,0
DDoS-ICMP_Flood,1,64,23.49767253,441,42,42,42,0,42,83124700.33,0
DDoS-TCP_Flood,6,64,0,567,54,54,54,0,54,83072028.12,0
DoS-TCP_Flood,6.05,63.36,0.3631709987,574.5,54,60.48,54.86105066,1.948455345,54.42,82946582.23,2.758215507
DDoS-SynonymousIP_Flood,6,64,8.641723502,567,54,54,54,0,54,83362307.32,0
DDoS-SynonymousIP_Flood,6,64,4.806829183,567,54,54,54,0,54,83365453.79,0
DDoS-UDP_Flood,17,64,51773.04438,525,50,50,50,0,50,83123743.81,0
DDoS-SynonymousIP_Flood,6,64,1.519255639,567,54,54,54,0,54,83365558.43,0
DDoS-SynonymousIP_Flood,6,64,2.829163681,567,54,54,54,0,54,83365457.34,0
DoS-UDP_Flood,16.89,64,4917.507671,528.84,50,53.84,50.36345752,1.092616864,50.24,83011480.02,1.547010093
DDoS-UDP_Flood,17,64,9154.974176,525,50,50,50,0,50,83123751.1,0
DDoS-TCP_Flood,6,64,10.91160162,567,54,54,54,0,54,83067385.21,0
DDoS-ICMP_Flood,1,64,7.39530078,441,42,42,42,0,42,83483212.51,0
DoS-UDP_Flood,17,64,3.538450441,1701,162,162,162,0,162,83007694.63,0
DDoS-PSHACK_Flood,6,64,2.007776338,567,54,54,54,0,54,83331772.11,0
DDoS-TCP_Flood,6,64,0.5062988689,567,54,54,54,0,54,83037713.54,0
DDoS-SYN_Flood,6,64,2.547370686,567,54,54,54,0,54,83495261.47,0
DDoS-SynonymousIP_Flood,5.94,63.36,1.07830005,568.02,54,55.02,54.10586438,0.2991349781,54.06,83362056.46,0.4234948694
DDoS-PSHACK_Flood,6,64,0.7521113044,567,54,54,54,0,54,83332149.25,0
DoS-HTTP_Flood,6.11,63.85,14.83238345,8549.46,223.21,1939.27,844.3557241,587.4579963,852.11,83002639.08,831.3861301
DoS-SYN_Flood,6,64,0.5921247445,567,54,54,54,0,54,82972399.21,0
DoS-UDP_Flood,16.72,65.27,6897.755089,548.65,51.18,65.1,53.82328386,4.558568557,51.28,83011566.83,6.45351998
Mirai-udpplain,16.68,64.78,936.7353898,5661.96,508.4,554,544.1560152,18.4956828,535.76,83767610.85,26.2063882
DDoS-ICMP_Fragmentation,0.96,61.44,21.48442484,9350.28,322.74,1456.4,862.3276675,548.1524552,902.88,83249458.51,774.9323978
DDoS-SynonymousIP_Flood,6,64,1.225824738,567,54,54,54,0,54,83361180.92,0
DDoS-RSTFINFlood,6,64,62.5548695,567,54,54,54,0,54,83344178.95,0
DDoS-SynonymousIP_Flood,6,64,2.020433921,567,54,54,54,0,54,83362037.5,0
DoS-TCP_Flood,6,64,17.76053889,567,54,54,54,0,54,82946597.35,0
DDoS-PSHACK_Flood,6,64,3.259452962,567,54,54,54,0,54,83332131.98,0
DDoS-PSHACK_Flood,6,64,14.1727829,567,54,54,54,0,54,83313797.22,0
DDoS-RSTFINFlood,6,64,16.08878065,567,54,54,54,0,54,83344002.62,0
DDoS-SYN_Flood,6.05,73.28,21.20418711,630.01,54.55,108.1,60.45141631,14.86718411,60.14,83094169.53,21.06682884
DDoS-UDP_Flood,17,64,8736.924905,525,50,50,50,0,50,83098791.67,0
DDoS-RSTFINFlood,6,64,3.539747965,567,54,54,54,0,54,83344102.11,0
DDoS-UDP_Flood,17,64,12711.11491,525,50,50,50,0,50,83123630.8,0
DDoS-UDP_Flood,17,64,88770.8785,525,50,50,50,0,50,83102334.99,0
DDoS-ICMP_Flood,1,64,44.51539383,441,42,42,42,0,42,83124133.11,0
DDoS-TCP_Flood,6.11,64.59,3.438386004,584.6,54,71.6,55.17703767,4.373558763,55.76,83076369.11,6.19846716
BenignTraffic,6,64,69.03285779,21601.8,95,1948.4,1376.164448,528.3326201,1948.4,166526136.8,739.0515207
BenignTraffic,9.9,93.9,19.91734985,1653.3,54,256.8,104.9695136,58.01317889,135.6,166521239.7,82.18596036
DDoS-ICMP_Flood,1,64,3.827675464,441,42,42,42,0,42,83483270.83,0
DDoS-RSTFINFlood,6,64,0.6265513797,567,54,54,54,0,54,83349375.7,0
DoS-SYN_Flood,6,64,0.5288794729,567,54,54,54,0,54,82977523.49,0
DDoS-PSHACK_Flood,6,64,6.207932612,567,54,54,54,0,54,83332137.2,0
DDoS-UDP_Flood,17,64,9689.40987,525,50,50,50,0,50,83106508.72,0
DDoS-TCP_Flood,6,64,19.76167098,567,54,54,54,0,54,83067573.73,0
DoS-TCP_Flood,6,64,0.4518912662,567,54,54,54,0,54,82950857.59,0
DDoS-TCP_Flood,6,64,10.39540659,567,54,54,54,0,54,83033810.11,0
DDoS-ICMP_Flood,1,64,12.78647622,441,42,42,42,0,42,83129074.51,0
DDoS-ICMP_Flood,1.16,63.99,21.76874473,447.44,42,48.44,42.43789308,1.603079189,42.84,83124435.18,2.2734541
DDoS-UDP_Flood,17,64,6332.223561,525,50,50,50,0,50,83123675.62,0
DoS-SYN_Flood,6,64,0.3158800657,567,54,54,54,0,54,82973543.27,0
DDoS-ICMP_Flood,1,64,9.926355285,441,42,42,42,0,42,83128093.44,0
DDoS-ACK_Fragmentation,5.81,60.66,11.47843688,9600.96,335.6,1514,957.4979477,553.9767315,890.86,83335194.56,783.6138698
DoS-TCP_Flood,5.94,63.36,20.13394777,568.2,54.06,55.2,54.21586438,0.3574192494,54.06,82946362.24,0.5059212763
DDoS-SYN_Flood,6,64,7.140166385,567,54,54,54,0,54,83089988.18,0
DDoS-TCP_Flood,6,64,20.46935554,567,54,54,54,0,54,83033988.67,0
DDoS-SYN_Flood,6,64,3.31776358,567,54,54,54,0,54,83094031.46,0
DDoS-ICMP_Flood,1,64,9.518777173,441,42,42,42,0,42,83149800.01,0
DDoS-ICMP_Flood,1,64,20.69694059,441,42,42,42,0,42,83124141.91,0
DDoS-ICMP_Flood,1,64,4.339783974,441,42,42,42,0,42,83124073.61,0
DDoS-SYN_Flood,6,64,31.70487127,567,54,54,54,0,54,83089241.82,0
DDoS-PSHACK_Flood,6,64,2.790730973,567,54,54,54,0,54,83331850.96,0
MITM-ArpSpoofing,5.5,80.8,86.36816036,9065.8,54,2390,1354.908254,1137.288218,1810.4,0.002277588844,1608.368422
Mirai-greeth_flood,47,64,0.3844221335,6216,592,592,592,0,592,83702698.73,0
DoS-UDP_Flood,16.67,64,37.62747835,1884.92,168.68,182,180.5051859,3.970411689,177.28,83003699.57,5.636359608
DDoS-ICMP_Flood,1.05,65.74,3.697383506,452.59,42,53.59,43.58462119,3.633762369,42.61,83124645.75,5.143532976
DDoS-SynonymousIP_Flood,5.94,66.97,1.040199396,572.02,54,59.02,54.54394094,1.478505693,54.3,83362410.58,2.093193435
Mirai-udpplain,17,64,1709.514362,5817,554,554,554,0,554,83711448.82,0
Mirai-greeth_flood,46.53,63.36,0,6200.04,576.04,592,591.1584444,3.566013285,586.68,83681515,5.083370227
DDoS-UDP_Flood,17,64,26138.78116,525,50,50,50,0,50,83123830.95,0
DDoS-UDP_Flood,17,64.64,13272.05254,531.84,50,56.84,50.93518628,2.144515496,50.36,83107458.34,3.035527658
DDoS-ICMP_Flood,1,64,0.880828305,441,42,42,42,0,42,83149764.09,0
DoS-UDP_Flood,16.84,65.91,18226.6802,528.4,50,53.4,50.35288126,0.9971165937,50.2,83011790.55,1.411649565
DDoS-SynonymousIP_Flood,6,64,0.7568053418,567,54,54,54,0,54,83361048.38,0
DDoS-RSTFINFlood,6,64,48.82320622,567,54,54,54,0,54,83349160.13,0
DDoS-TCP_Flood,6,64,1.914470851,567,54,54,54,0,54,83076446.42,0
DDoS-ICMP_Flood,1,64,0.9981279912,441,42,42,42,0,42,83128393.85,0
DDoS-PSHACK_Flood,6,64,3.964970128,567,54,54,54,0,54,83313916.87,0
Mirai-greeth_flood,47,64,52.53781597,6216,592,592,592,0,592,83681518.81,0
BenignTraffic,8.2,114.2,32.00560463,1105.4,92.3,364.6,214.175873,114.0474581,161.8,0.005179405212,161.287462
Mirai-greeth_flood,46.7,64.59,9.587168544,6202.32,578.32,592,591.2786667,3.056582816,587.44,83681306.22,4.35717448
DDoS-TCP_Flood,6,64,5.145727065,567,54,54,54,0,54,83067252.46,0
Mirai-greeth_flood,47,64,73.36226333,6216,592,592,592,0,592,83676911.02,0
DDoS-SYN_Flood,5.88,62.72,2.216529255,570.1,54,56.62,54.24982653,0.7051428495,54.32,83094323.72,0.999180179
DDoS-UDP_Flood,17,64,69630.35326,525,50,50,50,0,50,83103025.07,0
Mirai-udpplain,17,64,2093.864598,5817,554,554,554,0,554,83759143.46,0
DoS-TCP_Flood,6,64,0.4329114621,567,54,54,54,0,54,82951113.79,0
DDoS-SYN_Flood,6,65.68,3.893729137,567.68,54,54.68,54.07057625,0.1994233187,54.04,83093964.37,0.282329913
DDoS-PSHACK_Flood,6,64,1.503287531,567,54,54,54,0,54,83331106.82,0
Recon-PortScan,6,47.7,90.90878353,879,54,58,56.66245719,1.867369298,58,166429800.8,2.645008108
DDoS-RSTFINFlood,5.94,63.36,1.421636526,567.24,54,54.24,54.01302064,0.054335842,54.06,83348140.03,0.0772966111
DDoS-SYN_Flood,6.11,65.91,31.17916188,568.6,54,55.6,54.08,0.3487119155,55.6,83089756.48,0
BenignTraffic,6,87.6,3437.658351,14227,85.6,3416.4,908.4658594,990.3471194,1196.8,166517697.9,1393.174348
DDoS-UDP_Flood,17,64,9808.097568,525,50,50,50,0,50,83123863.32,0
DDoS-PSHACK_Flood,6,64,4.479920083,567,54,54,54,0,54,83314532.63,0
DDoS-ICMP_Flood,1,64,2.392375435,441,42,42,42,0,42,83127727.47,0
DDoS-UDP_Flood,17,64,6199.609094,525,50,50,50,0,50,83101809,0
DDoS-RSTFINFlood,6,64,10.03185613,567,54,54,54,0,54,83340873.34,0
DDoS-SYN_Flood,6,64,22.94866197,567,54,54,54,0,54,83089967.53,0
DDoS-PSHACK_Flood,6,64,229.8059885,567,54,54,54,0,54,83331113.46,0
DDoS-SynonymousIP_Flood,6,63.56,0.932933261,573.21,54,59.52,54.375725,1.382184841,55.38,83362573.14,1.879857077
Mirai-greeth_flood,46.53,63.36,3.294405953,6178.76,554.76,592,589.7783366,8.802695592,586.68,83677348.24,12.48915737
DDoS-ICMP_Flood,1,64,0,441,42,42,42,0,42,83132209.46,0
DDoS-SynonymousIP_Flood,6,64,1.801066549,567,54,54,54,0,54,83361869.13,0
DoS-SYN_Flood,6,64,0.6094467351,567,54,54,54,0,54,82980872.34,0
DDoS-ICMP_Flood,1,64,14.92614956,441,42,42,42,0,42,83132728.53,0
DoS-SYN_Flood,5.94,67.18,0.2961134832,568.32,54,54.9,54.07978445,0.2322268607,54.18,82977250.8,0.3293615644
DDoS-TCP_Flood,6.11,64,2.918188447,598.02,54,85.02,56.16793536,7.853633927,56.82,83075906.84,11.12805956
DDoS-SynonymousIP_Flood,6,64,2.163679106,567,54,54,54,0,54,83365677.48,0
DoS-TCP_Flood,6,64,2.322845988,567,54,54,54,0,54,82951266.84,0
DDoS-ICMP_Flood,1,64,3.255457677,441,42,42,42,0,42,83149445.99,0
DoS-TCP_Flood,6,67.44,3.763414085,581.52,54,67.08,55.07085902,3.376966239,55.2,82951680.41,4.7838176
DDoS-SYN_Flood,6.06,64.36,1884.399571,569.84,54,55.76,54.15243206,0.4740482084,54.8,83093346.79,0.6743314677
BenignTraffic,6,64,61.74702933,9485.4,1514,2238,1656.156825,285.452568,1803.6,0.0004521131516,403.6908931
Mirai-udpplain,17,64,683.3588846,5817,554,554,554,0,554,83759118.21,0
DoS-TCP_Flood,6,64,1.73820374,567,54,54,54,0,54,82956089.59,0
DDoS-ICMP_Flood,1,64,50.74440297,441,42,42,42,0,42,83128552.37,0
DDoS-UDP_Flood,17,64,14226.93412,525,50,50,50,0,50,83102404.98,0
Mirai-udpplain,17,64,1093.355943,5817,554,554,554,0,554,83707371.6,0
DDoS-RSTFINFlood,6,64,14.51557352,567,54,54,54,0,54,83345133.07,0
DDoS-SYN_Flood,6,64,92.8929837,567,54,54,54,0,54,83089180.54,0
DDoS-RSTFINFlood,6,64,7.744698294,567,54,54,54,0,54,83348135.28,0
DNS_Spoofing,7.1,127.1,56.06435033,11333,66,5244,744.9579055,1271.479466,360,166853715.9,1801.390667
DDoS-PSHACK_Flood,6,64,114.8699522,567,54,54,54,0,54,83314301.11,0
DDoS-PSHACK_Flood,6.17,66.49,27.22299236,647.57,54,96.3,60.81300754,13.95912619,59.59,83314393.87,19.7654575
DDoS-UDP_Flood,17,64,7763.84605,525,50,50,50,0,50,83101806.29,0
DDoS-ICMP_Flood,1,64,115.8471503,441,42,42,42,0,42,83149679.81,0
DDoS-UDP_Flood,17,64,6069.298721,525,50,50,50,0,50,83123631.05,0
DDoS-ICMP_Fragmentation,1.57,64.38,17.89153062,9178.9,236.8,1450.64,833.2783495,563.5951696,884.49,83245774.85,796.8790908
DoS-TCP_Flood,6,64,0.3954918994,567,54,54,54,0,54,82946965.09,0
DDoS-SynonymousIP_Flood,6,64,1.224120707,567,54,54,54,0,54,83361115.39,0
Mirai-udpplain,16.66,62.72,1451.051112,5688.56,425.56,554,543.709102,34.27148137,544.12,83784871.29,48.54197324
DDoS-SynonymousIP_Flood,6,64,0.9046332171,567,54,54,54,0,54,83365655.4,0
DDoS-SYN_Flood,6,64,1.573165655,567,54,54,54,0,54,83089070.07,0
DDoS-SYN_Flood,6,64,1.287193456,567,54,54,54,0,54,83093968.63,0
DDoS-TCP_Flood,6,64,32.56978234,567,54,54,54,0,54,83072482.7,0
DDoS-RSTFINFlood,6,64,211.08437,567,54,54,54,0,54,83340851.48,0
DDoS-TCP_Flood,6,64,31.6836398,567,54,54,54,0,54,83068264.26,0
DDoS-SynonymousIP_Flood,6,64,0.9399111094,567,54,54,54,0,54,83365583.13,0
DDoS-SYN_Flood,6,64,190.0411862,567,54,54,54,0,54,83089251.89,0
DDoS-ICMP_Flood,1.16,64,0.7835304513,441.16,42,42.16,42.008,0.03487119155,42.16,83149331.53,0
DoS-UDP_Flood,16.89,64.64,6048.82496,532.64,50,57.64,50.40606752,1.712014727,53.22,83016017.56,2.445525896
DDoS-UDP_Flood,17,64,11508.62603,525,50,50,50,0,50,83101884.64,0
DDoS-PSHACK_Flood,6,64,1.312321032,567,54,54,54,0,54,83331146.43,0
DoS-UDP_Flood,17,64,10726.8064,525,50,50,50,0,50,83011421.86,0
